,Timestamp,Indicate your current degree of studies,Which country is your school in?,Are your classes currently being conducted online?,What platform is your online school using?,"The nature and purpose of this research have been sufficiently explained. I understand that I am free to withdraw at any time without incurring any penalty. If you are 18 years of age or older, understand the statements above, and freely consent to participate in the study, click on the ""I Agree"" button to begin the survey. If not, thank you for your time.",1. How many of the following techniques do your teachers use in class?,3-9. Please indicate how much you agree or disagree with the following statements: [I enjoy having classes online.],3-9. Please indicate how much you agree or disagree with the following statements: [I feel motivated before class.],3-9. Please indicate how much you agree or disagree with the following statements: [I am satisfied with how my teachers conduct online classes.],3-9. Please indicate how much you agree or disagree with the following statements: [My classes are engaging.],3-9. Please indicate how much you agree or disagree with the following statements: [I am often distracted during class.],3-9. Please indicate how much you agree or disagree with the following statements: [I speak often during each class.],3-9. Please indicate how much you agree or disagree with the following statements: [I often ask the teacher Qs (either verbally or in chat)],"10. If you could change one thing about the way your online classes are designed, what would you change? Why?",11. Do you prefer online classes over in-person classes? Why or why not?,In-class assessments/quizzes,Asking students to explain concepts to the class,Debates,Small group activities where you solve a problem together,Role playing situations,Q&A with students' questions,Asking you to apply class material to a new context,assessments,explanation,debates,activities,rp,qna,application
6371,4/6/2020 9:39:12,Undergraduate,Canada,Yes,"Recorded lectures, an interactive like zoom and others",I agree,"In-class assessments/quizzes, Videos, Explanation using Diagrams, Q&A with students' questions, Asking you to apply class material to a new context",Disagree,Strongly Disagree,Neutral,Neutral,Agree,Disagree,Agree,"More consistancy, all my profs have a different method so none are the same with online",In-person. I have a motivation to attend and lay attention. It feels like I'm being watched so I have to pay attention ,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6372,4/6/2020 9:39:17,High school,United Kingdom,Yes,Zoom,I agree,"In-class assessments/quizzes, Asking you to apply class material to a new context",Agree,Neutral,Agree,Agree,Disagree,Neutral,Agree,Increased sessions,In person as it is easier to have a proper discussion with the teacher as well as fellow pupils ,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6373,4/6/2020 9:39:25,Undergraduate,Turkey,Yes,Zoom,I agree,"In-class assessments/quizzes, Asking students to explain concepts to the class, Explanation using Diagrams, Q&A with students' questions, Asking you to apply class material to a new context",Disagree,Neutral,Neutral,Disagree,Agree,Disagree,Disagree,I'd like it to be more engaging since it feels like one-sided and i feel uncomfortable.,"No, I don't. Human contact in a most physical form is best for me to feel motivated and not distracted.",1,1,1,1,1,1,1,1,1,1,1,1,1,1
6374,4/6/2020 9:39:35,High school,United Kingdom,Yes,Google classroom ,I agree,"Videos, Literally nothing fun :( we got given noted and videos explaining things, and then are told to fill in a worksheet",Neutral,Agree,Neutral,Neutral,Disagree,Strongly Disagree,Neutral,"I wish the classes were actually a live chat/stream... we have ‘online lessons’ which are just google docs that we have to fill in. If we’re lucky, a video","I like the fact that you can concentrate on yourself during an interview blind class, there are no classroom distractions or friends whispering to you. I do sciences though, which makes labs near impossible",0,1,1,1,1,1,1,0,1,1,1,1,1,1
6375,4/6/2020 9:39:45,High school,United Kingdom,Yes,Blue button ,I agree,"Videos, Asking students to explain concepts to the class, Explanation using Diagrams, Q&A with students' questions",Disagree,Strongly Disagree,Disagree,Strongly Disagree,Agree,Disagree,Disagree,More interactive as I get bored easily. ,I prefer in person classes as I feel like I’m getting a better understanding + education as I HAVE to be focused in class whereas I can log in + turn my camera off for online classes. ,0,1,1,1,1,1,1,0,1,1,1,1,1,1
6377,4/6/2020 9:39:55,Undergraduate,United States,Yes,Zoom,I agree,"Asking students to explain concepts to the class, Explanation using Diagrams, Q&A with students' questions",Disagree,Disagree,Agree,Agree,Disagree,Strongly Disagree,Disagree,I would prefer if my online class sizes were smaller so I would feel more comfortable asking questions. ,"I do not because it is harder to connect with the material being presented, not to mention the other implications of online classes such as less secure exam methods. ",0,1,1,1,1,1,1,0,1,1,1,1,1,1
6378,4/6/2020 9:39:56,Undergraduate,Mexico,Yes,Google Teams,I agree,"In-class assessments/quizzes, Videos, Asking students to explain concepts to the class, Small group activities where you solve a problem together, Explanation using Diagrams",Strongly Disagree,Neutral,Agree,Neutral,Agree,Disagree,Disagree,Find a way for getting students motivated for the class,When people want to participate it becomes such a noisy place to be so you start getting disctracted,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6382,4/6/2020 9:40:42,Undergraduate,Germany,Yes,Zoom / recorded lectures / just PowerPoint (depending on Professor),I agree,"In-class assessments/quizzes, Videos, Explanation using Diagrams, Q&A with students' questions",Agree,Agree,Disagree,Neutral,Neutral,Disagree,Disagree,Give more opportunities to ask questions during the lecture (like in a real lecture hall) ,I like that I don’t have to commute to uni and wait there between classes however I feel like I have to teach myself more than with in-person classes and I don’t get to hang out with my friends or immediately discuss topics from the lecture so all in all I prefer in-person classes. ,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6383,4/6/2020 9:41:20,Postgraduate,Italy,Yes,WebEx ,I agree,"Videos, Asking students to explain concepts to the class",Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Agree,Strongly Disagree,Neutral,I miss the interaction with the teacher as it is what makes the lesson interesting ,In-person classes because Maths can’t be explained through a screen ,0,1,1,1,1,1,1,0,1,1,1,1,1,1
6384,4/6/2020 9:41:43,Postgraduate,Netherlands,Yes,Recorded Lectures,I agree,"Videos, Q&A with students' questions",Disagree,Neutral,Agree,Disagree,Agree,Disagree,Disagree,Produce classes that are specifically designed for online teaching. ,"No, they are not motivating me",0,1,1,1,1,1,1,0,1,1,1,1,1,1
6386,4/6/2020 9:43:02,Undergraduate,United Kingdom,Yes,Blackboard collaborative ,I agree,"In-class assessments/quizzes, Videos, Explanation using Diagrams, Q&A with students' questions",Neutral,Disagree,Agree,Neutral,Agree,Strongly Disagree,Strongly Disagree,They’d be more engaging (not just read off a PowerPoint or talk constantly for 2 hours) so I’m not tempted to get distracted.,No. It is too easy to get distracted with not having a designated “study” area unlike at University.,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6387,4/6/2020 9:43:20,Undergraduate,Canada,Yes,Recorded Lectures,I agree,"Videos, Q&A with students' questions",Strongly Disagree,Strongly Disagree,Neutral,Strongly Disagree,Neutral,Strongly Disagree,Strongly Agree,I would have my profs hold class over zoom rather than recording lectures,No. In person classes are more engaging ,0,1,1,1,1,1,1,0,1,1,1,1,1,1
6388,4/6/2020 9:43:57,Undergraduate,Paraguay,Yes,Google classroom,I agree,"Videos, Power point plus audio and a lot of homework",Agree,Neutral,Agree,Disagree,Agree,Strongly Disagree,Disagree,I prefer having classes than have extremely much homework without explain the concepts.  Because I like to take notes during class,"No. I prefer in-person classes because my career is Biochemistry, and we need the lab in order to have the skills that we need",0,1,1,1,1,1,1,0,1,1,1,1,1,1
6390,4/6/2020 9:44:04,High school,Ireland,Yes,Google Teams,I agree,"In-class assessments/quizzes, Videos, Explanation using Diagrams",Agree,Agree,Neutral,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Live classes as at the minute we are not interacting with classmates at all,No. I do like the independence however I miss the social and interactive parts of class,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6391,4/6/2020 9:44:18,Undergraduate,Ireland,Yes,Recorded Lectures,I agree,"In-class assessments/quizzes, Small group activities where you solve a problem together, Explanation using Diagrams, Q&A with students' questions",Disagree,Disagree,Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Recorded lectures are difficult to sit through ,No - seeing and listening to a lecturer in real life is much more engaging and especially with classmates around you,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6392,4/6/2020 9:44:35,High school,United States,Yes,Zoom and Google Classroom,I agree,"In-class assessments/quizzes, Videos, Asking students to explain concepts to the class, Small group activities where you solve a problem together, Q&A with students' questions",Neutral,Strongly Disagree,Neutral,Agree,Strongly Agree,Agree,Strongly Agree,I would like all of my classes to be on the same platform and to have an easily accessible lesson plan ,No! I just love the social aspect and the ability to grasp material tangibly and reading body language and communing before and after classes,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6393,4/6/2020 9:44:37,Undergraduate,Ireland,Yes,Blackboard,I agree,"Videos, Explanation using Diagrams, Q&A with students' questions",Agree,Agree,Agree,Agree,Agree,Strongly Disagree,Disagree,More time for questions at the end,No,0,1,1,1,1,1,1,0,1,1,1,1,1,1
6395,4/6/2020 9:45:48,Undergraduate,Mexico,Yes,Zoom,I agree,"In-class assessments/quizzes, Asking students to explain concepts to the class",Neutral,Disagree,Agree,Agree,Agree,Neutral,Agree,No,"No, i understand more the concepts in person ",1,1,1,1,1,1,1,1,1,1,1,1,1,1
6396,4/6/2020 9:45:51,High school,United States,Yes,Zoom,I agree,"Videos, Asking students to explain concepts to the class, Debates, Q&A with students' questions",Strongly Disagree,Strongly Disagree,Neutral,Disagree,Agree,Neutral,Neutral,"I would change how the teachers schedule the assignments due dates because ever since COVID-19 decided to barge in and ruin everything, the teachers have all suddenly decided that we are all capable of accomplishing seven assignments within a day. Don’t get me wrong, I know that this outbreak has given school kids more free time, however, having the bundles of assignments that were already time consuming to begin with can really stress out students, and in a way, cause them to not even want to bother doing the assignments anymore. ","I prefer In-person classes because being in the classroom environment automatically makes me more motivated. Also, because I’m a visionary learning, being able to watch the teacher present the notes just clicks better to me than online. ",0,1,1,1,1,1,1,0,1,1,1,1,1,1
6397,4/6/2020 9:45:56,High school,Malaysia,Yes,Google meet,I agree,"In-class assessments/quizzes, Videos, Asking students to explain concepts to the class, Small group activities where you solve a problem together, Explanation using Diagrams, Q&A with students' questions, Asking you to apply class material to a new context",Agree,Agree,Neutral,Agree,Agree,Disagree,Strongly Agree,"Less class time , my eyeballs are hurting and  eyesight is worsening !! also i wish my teachers gave easier and less energy consuming homework","Person classes! Say idk how to draw this isometric drawing is design tech class , i need him to personally demonstrate to me . Although normal classes are more noisier, i still enjoy meeting and interacting with my classmates ",1,1,1,1,1,1,1,1,1,1,1,1,1,1
6398,4/6/2020 9:46:02,Undergraduate,Georgia,Yes,Microsoft teams,I agree,"In-class assessments/quizzes, Videos, Asking students to explain concepts to the class, Q&A with students' questions",Strongly Agree,Neutral,Strongly Agree,Neutral,Disagree,Strongly Disagree,Strongly Disagree,I would make the quality of audio/video better. Nothing else comes to my mind!,"I think both of them have pros! Online classes are more comfortable for me (i dont have to use public transport, no one sees me all the time etc. and as a person with social anxiety this has decreased my anxiety). However in-person classes are more engaging, gets you out of your comfort zone and you can chat with your classmates. Overall i'd choose in-person classes long-term but im content with online classes at the moment.",1,1,1,1,1,1,1,1,1,1,1,1,1,1
6400,4/6/2020 9:46:16,Undergraduate,United States,Yes,"All classes are different. Mine use zoom and recorded lectures, but many professors are doing discussion boards only.",I agree,"Videos, Asking students to explain concepts to the class, Asking you to apply class material to a new context",Neutral,Strongly Disagree,Agree,Neutral,Neutral,Agree,Agree,"My discussion based classes went from all 15 kids always contributing to only 5 kids engaging in the zoom. I would require some form of engagement, whether it be in the chat or talking. I hate to force people to, but the class changed dramatically when it went online.",Lectures I prefer online because I can go at my own pace. For me this applies to organic chemistry and math. For my literature and philosophy seminars I would much rather it be in person. ,0,1,1,1,1,1,1,0,1,1,1,1,1,1
6401,4/6/2020 9:46:19,Postgraduate,Germany,Yes,Recorded Lectures,I agree,"In-class assessments/quizzes, Videos, Explanation using Diagrams",Strongly Agree,Agree,Neutral,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,I would prefer more tests after each lecture to see if I really got the hang of the subject or not,"I prefer online classes, because it usually took me a really long time to get to my university. Furthermore I feel less distracted when I am home alone and I like the fact, that I can decide when and what I want to study. ",1,1,1,1,1,1,1,1,1,1,1,1,1,1
